Drug Name,Condition,Rating,Content
Junel,Birth Control,10,"Gildess Fe 1/20 (ethinyl estradiol / norethindrone)""I was questioning taking this birth control after reading all the reviews. I'm going onto my 3rd month. The first month my period lasted about 2 weeks but after that the monthly cycles where super light only 3 days and always on time. Everyone's body is different. I didn't experience any low sex drive, spotting or mood changes. I did notice a slight weight gain but Overall, I'm pleased with the birth control."""
Flomax,Benign Prostatic Hyperplasia,7,"""An effective drug, but it decreases sex drive."""
Junel,Birth Control,9,"Lo Loestrin Fe (ethinyl estradiol / norethindrone)""I started taking Lo Loestrin Fe about three months ago. This birth control is amazing. Compared to my old pill, Levora, a lot of those side effects have gone away like my hormonal cystic acne that covered my back and face. In addition, I stopped having my period completely. I have not noticed any breast tenderness or any of the other side effects. I recommend this to those at a younger age. Unfortunately, my insurance does not cover this and it is very pricey (around $100 per month)."""
Flagyl,Bacterial Infection,9,"""Today is my 3rd day on this antibiotic. I had been experiencing an embarrassing discharge for a few months now. I repeatedly asked my doctor to test me for BV -- After 3 failed attempts to have my doctor test me for bacterial vaginosis, telling me that I was being overly sensitive - I finally sought a second opinion, and turns out, I did in fact have the infection. I am on my third day of the antibiotic (twice a day for seven days) and while I have noticed some uncomfortable side effects such as restlessness and night and mild queasiness - my symptoms are completely gone. No discharge, no embarrassing smell. Thank heavens! I will gladly be slightly uncomfortable for a week to rid myself of this disgusting, embarrassing infection."""
Latuda,Schizophrenia,10,"""I have schizoaffective disorder and Latuda gave me back my life back (along with an outpatient program and on other medications).  I felt like me again.   I went back to work at a part time job, because I'm not in psychosis or depressed all the time.  I have my own apartment.  I drive and own my own car.  Pretty soon I'm going to try going off disability by working full time.  It hasn't done everything, I still have delusions sometimes.  I still had nasty side effects at first like akathisia and sleepiness.  I get depression at times, mostly just not wanting to leave the bed."""
Buprenorphine & Naloxone,Opioid Use Disorder,10,"Suboxone (buprenorphine / naloxone)""Awesome."""
Zolpidem,Insomnia,1,"Ambien (zolpidem)""I'm  taking this medication  as prescibe by  my doctor it has not helped at all in fact the third time taking it I did not feel sleepy nor did I fall asleep"""
Levothyroxine,Underactive Thyroid,1,"""I am still experiencing hot flashes, tired, no energy all the time,  sleep 12 to 14 hours.
Doc won't increase me currently on 50mg I need a heck of a lot more I believe"""
Fenofibrate,"Hyperlipoproteinemia Type IIa, Elevated LDL",1,"""How did this awful little pill ever make it to market? I felt like I'd ingested rat poison! Horrific stomach pain & vomiting. I will NEVER take a drug just because some ""doctor"" said to again! Sometimes best to, ""just say NO!"""""
Tirzepatide,"Diabetes, Type 2",10,"Mounjaro (tirzepatide)""Ozempic made me so nauseous & sick; so doctor switched me to Mounjaro & I have felt so much better. Reduced appetite but not nauseous. Was on .25 for 3 months and lost 15 lbs, now on .5 but having trouble sleeping & fast heart rate."""
Propranolol,Performance AnxietyOff-label,8,"""for me I'd say betablockers work well for performance/social anxiety.Reading the comments on this page sound so familiar to me.They will not stop you from being nervous but will bring you to a level where the physical aspects of your fear won't manifest ie pounding heart and trembling voice so once you start and realise this usually things will go better. I have found though that certain brands are better than others. I order mine online but yes they have been a lifesaver in certain situations such as introductions in meetings or big interviews etc. Normally for me around 30mg works well about 45 minutes to 1 and half hours before."""
Levonorgestrel,Birth Control,10,"Mirena (levonorgestrel)""I got the Mirena after my Son was born. While I was using the Mirena I had no periods at all for the five years. Now I have my tubes tied, my periods are coming back as bad as they were before I had kids. Sometimes I can't even move the first day of my period...So my Doc. told me I can go back and get the Mirena put back in! I go next week for this and I can't wait! I hope it goes as smoothly as it did the first time I had it, never had any problems except maybe weight gain but I don't know if it was due to the birth control or not."""
Semaglutide,Weight Loss (Obesity/Overweight),10,"Wegovy (semaglutide)""5'8"" F started at 241 lbs. The doctor had me on phentermine (half dose) while waiting for Wegovy to go through insurance prior to authorization. Went down to 219 lbs on the phen in 11 weeks, then discontinued that to start Wegovy 0.25mg. I just took my second injection, so I can describe my first week and shot experience. I had a mild headache for the first 24 hours after my first injection. Not bad enough to need an aspirin or anything, and I think I was over-analyzing my body looking for side effects. After the first injection, I thought I had a metallic taste in my mouth and now that I just took a second I can confirm it. Lasted for 12 hours the first time. I also am one of the rare people that taste metal after vaccines if that matters.
I was extremely worried about the injection process itself. I'm glad I watched some youtube videos and knew what to do. It was easy and I didn't feel the needle. No cravings - I just have to space out my meals or my stomach feels uncomfortable. Down another 3 lbs. Go Wegovy Wednesdays!"""
Bupropion,Seasonal Affective Disorder,8,"""Female, age 27, taking Bupropion XL 150 mg/day

Started feeling the effects of this medication within a few days (been on it for a month now); I definitely don't feel depressed anymore, which is great!  Here's what it's been like for me:

-Depression gone (feeling very neutral)
-Obsessive thoughts gone (usually related to my body/desire to lose weight)
-MASSIVE increase in sex drive
-MASSIVE reduction of appetite 
-Vivid dreams
-Irritable at times/very little patience 
-Benign muscle twitches (usually at night in my extremities)

Doctor wants to up the dosage to 300mg, but I'm happy where I am."""
